536,psys-1,15.10244
536,core-0,2.61248
536,package-0,5.63646
536,uncore-0,0.39013
536,package-global,5.63646
536,cpu%_package-global,1.91824
536,cpu%_package-0,2.00867
536,freq_package-0,2918067.75
476,psys-1,15.13586
476,core-0,2.64022
476,package-0,5.67198
476,uncore-0,0.39014
476,package-global,5.67198
476,cpu%_package-global,1.91824
476,cpu%_package-0,2.00828
476,freq_package-0,3628042.0
416,psys-1,15.13338
416,core-0,2.6409
416,package-0,5.68172
416,uncore-0,0.39419
416,package-global,5.68172
416,cpu%_package-global,1.91945
416,cpu%_package-0,2.03796
416,freq_package-0,1321059.75
165,psys-1,14.83521
165,core-0,2.57254
165,package-0,5.5181
165,uncore-0,0.35974
165,package-global,5.5181
165,cpu%_package-global,1.83648
165,cpu%_package-0,1.90838
165,freq_package-0,2989965.25
150,psys-1,14.82917
150,core-0,2.57352
150,package-0,5.52012
150,uncore-0,0.35972
150,package-global,5.52012
150,cpu%_package-global,1.8374
150,cpu%_package-0,1.93202
150,freq_package-0,2940887.625
135,psys-1,14.86128
135,core-0,2.5924
135,package-0,5.54919
135,uncore-0,0.36234
135,package-global,5.54919
135,cpu%_package-global,1.88679
135,cpu%_package-0,1.90942
135,freq_package-0,1120017.0
105,psys-1,14.85435
105,core-0,2.58667
105,package-0,5.54116
105,uncore-0,0.36149
105,package-global,5.54116
105,cpu%_package-global,1.88632
105,cpu%_package-0,1.93391
105,freq_package-0,3281661.875
120,psys-1,14.84378
120,core-0,2.58275
120,package-0,5.53681
120,uncore-0,0.36191
120,package-global,5.53681
120,cpu%_package-global,1.88679
120,cpu%_package-0,1.93321
120,freq_package-0,1773184.0
75,psys-1,14.84664
75,core-0,2.57893
75,package-0,5.53939
75,uncore-0,0.36826
75,package-global,5.53939
75,cpu%_package-global,1.88632
75,cpu%_package-0,1.93442
75,freq_package-0,2088086.25
90,psys-1,14.84231
90,core-0,2.58095
90,package-0,5.53795
90,uncore-0,0.36531
90,package-global,5.53795
90,cpu%_package-global,1.88632
90,cpu%_package-0,1.93301
90,freq_package-0,1710769.625
45,psys-1,14.84282
45,core-0,2.58299
45,package-0,5.53889
45,uncore-0,0.36412
45,package-global,5.53889
45,cpu%_package-global,1.88679
45,cpu%_package-0,1.95846
